Security Code,Security Id,Security Name,Status,Group
500002,ABB,ABB India Ltd,Active,A 
500003,AEGISLOG,Aegis Logistics Ltd,Active,A 
500004,TPAEC,Torrent Power AEC Ltd,Delisted,B 
500005,AKARLAMIN,Akar Laminators Ltd,Delisted,XD
500006,ALPHADR,Alpha Drug India Ltd,Delisted,B 
500008,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A 
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X 
500010,HDFC,Housing Development Finance Corporation Ltd,Delisted,A 
500011,AMRTMIL-BDM,Amrut Industries Ltd,Delisted,Z 
500012,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X 
500013,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z 
500014,UTIQUE,Utique Enterprises Ltd,Active,X 
500015,ICICIDM,ICICI Ltd,Delisted,B 
500016,ARUNAHTEL,Aruna Hotels Ltd,Active,X 
500018,ARPOLDM,ARPOLDM,Delisted,B 
500019,BOR,Bank of Rajasthan Ltd,Delisted,B 
500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A 
500021,ASINCOF,ASINCOF,Delisted,Z 
500023,ASIANHOTNR,Asian Hotels (North) Ltd,Active,B 
500024,ASSAMCO,Assam Company India Ltd,Delisted,T 
500025,ASSAMBR,Assambrook Ltd-$,Delisted,X 
500026,ATSHIND,Atash Industries Ltd,Delisted,Z 
500027,ATUL,Atul Ltd,Active,A 
500028,ATVPR,ATV Projects India Ltd,Active,X 
500029,AUTOLITIND,Autolite (India) Ltd,Delisted,Z 
500030,AUTORIDFIN,Autoriders Finance Ltd,Delisted,Z 
500031,BAJAJELEC,Bajaj Electricals Ltd-$,Active,A 
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A 
500033,FORCEMOT,Force Motors Ltd-$,Active,A 
500034,BAJFINANCE,Bajaj Finance Ltd,Active,A 
500035,BALAJIDI,Balaji Distilleries Ltd,Delisted,T 
500036,BALAJIIND,Balaji Industrial Corporation Ltd,Delisted,X 
500037,BALMERL-B,Balmer Lawrie Freight Containers Ltd,Delisted,P 
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A 
500039,BANCOINDIA,Banco Products (India) Ltd-$,Active,A 
500040,ABREL,Aditya Birla Real Estate Ltd,Active,A 
500041,BANARISUG,Bannari Amman Sugars Ltd,Active,B 
500042,BASF,BASF India Ltd,Active,A 
500043,BATAINDIA,Bata India Ltd,Active,A 
500044,RAYBAN,Rayban Sun Optics India Ltd,Delisted,B 
500045,BELLARYS,Bellary Steels & Alloys Ltd,Delisted,XT
500046,BECREL,Best & Crompton Engineering Ltd,Delisted,Z 
500047,BETANAP,Beta Napthol Ltd,Delisted,Z 
500048,BEML,BEML Ltd,Active,A 
500049,BEL,Bharat Electronics Ltd,Active,A 
500050,BHARATRA,Bharat Rasayan Ltd,Delisted,T 
500051,BHAGGAS,Bhagawati Gas Ltd,Suspended,Z 
500052,BEPL,Bhansali Engineering Polymers Ltd-$,Active,B 
500053,BHAZINC,Bharat Zinc Ltd,Delisted,Z 
500054,BHRTITE-B,BHRTITE-B,Delisted,Z 
500055,TATASTLBSL,Tata Steel Bsl Ltd,Delisted,T 
500056,UTIMRDM,UTI Master Growth 93,Delisted,B 
500057,ABCIL,Aditya Birla Chemicals (India) Ltd,Delisted,B 
500058,BIHSPONG,Bihar Sponge Iron Ltd,Active,X 
500059,BILVYAPAR,Bil Vyapar Ltd,Active,T 
500060,BIRLACABLE,Birla Cable Ltd,Active,B 
500061,ANVALDM,Andhra Valley Power Supply Co Ltd,Delisted,B 
500062,ASHOKLEYFIN,Ashok Leyland Finance Ltd,Delisted,B 
500063,OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Delisted,B 
500064,BGFL,Birla Global Finance Ltd,Delisted,B 
500067,BLUESTARCO,Blue Star Ltd,Active,A 
500068,DISAQ,Disa India Ltd,Active,B 
500069,QUESTCAP,Quest Capital Markets Ltd,Active,X 
500070,BOP,Bank of Punjab Ltd,Delisted,B 
500072,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,Delisted,B 
500073,BPLENG,BPL Engineering Ltd,Delisted,B 
500074,BPL,BPL Ltd,Active,B 
500075,NAGARFER,Nagarjuna Fertilizers and Chemicals Ltd,Delisted,B 
500076,BURROWEL,Burroughs Wellcome (India) Ltd,Delisted,B 
