username,symbol,price
_the_strangler_,UFBL,191.15 
.rathi,DECNGOLD,113.00 
bruhaspathi,SKMEGGPROD,160.25 
dukemyboy,SYRMA,708.00 
abhishek260898,RMDRIP,94.82 
Zoom,ADVAIT,1365.00 
stumbledcorn,PFC,374.00 
rama.krishna,ASHOKLEY,183.10 
noobgamer_911,LGEINDIA,1387.00 
noisyboy2066,INFOBEAN,789.70 
madmaxpunkyt,MODINSU,201.60 
dhruvehe,MANORAMA,1280.00 
neo_was_here,ABDL,473.00 
alex.io,RELIABLE,153.99 
sam_322,PRIVISCL,2635.05 
_.j0jo._,AUTOAXLES,1964.00 
haanmehihu,PANCARBON,485.40 
shamelesssteel,HINDCOPPER,570.00 
oldtimer6674,SARDAEN,488.20 
mr_noob.111,RACLGEAR,1015.00 
Koru,VPRPL,45.95 
dilsepaneer.,PENIND,173.25 
demiii,POLYCAB,7182.50 
toplesstrader,DRREDDY,1170.00 
bran.24,IDEA,10.82 
911326,KAYNES,3612.00 
pika_1608,TATASTEEL,187.10 
sentoph_poli,ICICIAMC,2937.00 
prashanths,MCX,2455.00 
thatbtctrader,NMDC,82.74 
batman_30775,BSE,2800.00 
dividerprime,HINDALCO,938.50 
spice_01,NATIONALUM,363.00 
finvasiauser,GEECEE,306.10 
hamstero.,ADANIENT,2155.00 
Billu_sanda,SBIN,1035.00 
wuod,JAMNAAUTO,126.61 
flamingnostrils,INTERARCH,2045.00 
_.KRYPTON._,BHEL,265.40 
fuzzyog,BSOFT,430.95 
hashcrack,APOLLO,244.65 
maythydelusionschipandshatter,CONCOR,518.00 
humanstupidityuniverse,SUMMITSEC,1774.00 
navalravikantfan,ZENTEC,1327.90 
rot_12,VEDL,684.95 
butter0973,LALPATHLAB,1397.90 
kr0nik,RELIANCE,1450.60 
turncoat_.,SAKAR,408.90 
tehelca_omlet,MAZDOCK,2431.00 
scig,LUPIN,2205.00 
brownbobdowney,EICHERMOT,7300.00 
dirigible1796,WOCKPHARMA,1419.20 
shockabsorber,RBLBANK,309.00 
keshgawd,VALIANTORG,248.10 
jassi_oye,PTCIL,17968.00 
utpalluthra,GUJTLRM,0.71 
rahulshrivastav0223,HINDZINC,650.00 
schnitzeldinger,ERIS,1447.00 
trader3156,TEGA,1860.00 
sudden_sax,TARIL,260.30 
fraywolfcandy,FORCEMOT,20500.00 
gallactus0934,PATELENG,30.00 
eren0001000,360ONE,1193.90 
slacktalk,TATACONSUM,1180.20 
sarge_q3,JAIBALAJI,72.00 
red_is_here,IOB,36.05 
ybsyour,AURUM,189.00 
ron.cho,GROWW,173.20 
tessractism,HONAUT,33965.00 
lidi_ok,ZAGGLE,309.00 
chonky,EMMVEE,214.31 
confused_cloud_0051,MCL,82.23 
warrenbuffett7601,MANKIND,2170.00 
AdaniHodler,JIOFIN,279.40 
takeshicastlenoton,SHAILY,2156.80 
krazy9964,CMSINFO,331.00 
el_tiburon_vbvc,BATAINDIA,902.00 
bmcfsu,CIPLA,1396.50 
harbenand,ITC,330.00 
stovegodcookz,TCS,3188.00 
clayface,POCL,1394.10 
Sidart,CUPID,459.95 
adorable_moose_23545,SONATSOFTW,339.05 
wintermonkey2,KEC,681.00 
responsibilityrepellant,ENGINERSIN,191.01 
ms.hello_kitty,PHOENIXLTD,1848.80 
gammaneutral,ASHAPURMIN,801.20 
thepapaelon,CIANAGRO,1400.35 
Boombust,GODFRYPHLP,2240.00 
jonnycash9689,AGI,670.00 
moonrays1,SAGILITY,53.09 
Saxx,GODREJPROP,1889.00 
oungabunga,STALLION,210.01 
boombust_jr.,SABTNL,2045.00 
c.men.,EPIGRAL,1158.30 
mero__vingian,NETWEB,3710.00 
robustwarrbotics,BLUEJET,479.00 
dippamdappam,INDIGOPNTS,1216.20 
pasha6969,CSBBANK,503.00 
supereconomics,KALYANKJIL,468.00 
ram_bhakt_respect,REGANTO,14.92 
