SCRIP CODE,SCRIP ID,SCRIP NAME
,KRMAYURVED,KRM Ayurveda Limited
,ARMOUR,Armour Security (India) Limited
,AVANA,Avana Electrosystems Limited
,VICTORYEV,Victory Electric Vehicles International Limited
,E2ERAIL,E To E Transportation Infrastructure Limited
,DHARARAIL,Dhara Rail Projects Limited
,SOCL,Sundrex Oil Company Limited
,EPWINDIA,EPW India Limited
,SHYAMDHANI,Shyam Dhani Industries Limited
,MARC,Marc Technocrats Limited
,EXIMROUTES,Exim Routes Limited
,ASHWINI,Ashwini Container Movers Limited
,ENCOMPAS,Encompass Design India Limited
,FWSTC,Flywings Simulator Training Centre Limited
,SHRIKANHA,Shri Kanha Stainless Limited
,NEOCHEM,Neochem Bio Solutions Limited
,INVICTA,Invicta Diagnostic Limited
,SPEB,Speb Adhesives Limited
,CSSL,Clear Secured Services Limited
,CURIS,Curis Lifesciences Limited
,FINBUD,Finbud Financial Services Limited
,SHETHJI,Shreeji Global FMCG Limited
,JAYESH,Jayesh Logistics Limited
,GREENLEAF,Greenleaf Envirotech Limited
,SHEEL,Sheel Biotech Limited
,BAGDIGITAL,B.A.G. Convergence Limited
,MUNISH,Munish Forge Limited
,SUBAHOTELS,Suba Hotels Limited
,VIJAYPD,Vijaypd Ceutical Limited
,MPEL,Manas Polymers and Energies Limited
,GURUNANAK,Gurunanak Agriculture India Limited
,ECOLINE,Ecoline Exim Limited
,MGSL,Matrix Geo Solutions Limited
,PRIMECAB,Prime Cable Industries Limited
,SIDDHICOTS,Siddhi Cotspin Limited
,TECHD,TechD Cybersecurity Limited
,GML,Galaxy Medicare Limited
,TAURIAN,Taurian MPS Limited
,VIGOR,Vigor Plast India Limited
,OPTIVALUE,Optivalue Tek Consulting Limited
,SNEHAA,Snehaa Organics Limited
,CURRENT,Current Infraprojects Limited
,SATTVAENGG,Sattva Engineering Construction Limited
,CLASSICEIL,Classic Electrodes (India) Limited
,SHIVASHRIT,Shivashrit Foods Limited
,ANONDITA,Anondita Medicare Limited
,ARCIIL,ARC Insulation & Insulators Limited
,STUDIOLSD,Studio LSD Limited
,MRIL,Mahendra Realtors & Infrastructure Limited
,AMCL,ANB Metal Cast Limited
,MEDISTEP,Medistep Healthcare Limited
,SAWALIYA,Sawaliya Food Products Limited
,CONNPLEX,Connplex Cinemas Limited
,AARADHYA,Aaradhya Disposal Industries Limited
,PARTH,Parth Electricals & Engineering Limited
,JYOTIGLOBL,Jyoti Global Plast Limited
,BHADORA,Bhadora Industries Limited
,FLYSBS,FlySBS Aviation Limited
,CUDML,Cash Ur Drive Marketing Limited
,RNPL,Renol Polychem Limited
,KAYTEX,Kaytex Fabrics Limited
,SELLOWRAP,Sellowrap Industries Limited
,TSC,TSC India Limited
,SAVY,Savy Infra and Logistics Limited
,SPUNWEB,Spunweb Nonwoven Limited
,SMARTEN,Smarten Power Systems Limited
,WHITEFORCE,Happy Square Outsourcing Services Limited
,ETL,Emkay Tools Limited
,CEDAAR,Cedaar Textile Limited
,PUSHPA,Pushpa Jewellers Limited
,SILKY,Silky Overseas Limited
,PROFX,Pro FX Tech Limited
,MMEL,Moving Media Entertainment Limited
,RTL,Rama Telecom Limited
,SUNTECH,Suntech Infra Solutions Limited
,SHKSIL,Shri Hare-Krishna Sponge Iron Limited
,MAYASHEEL,Mayasheel Ventures Limited
,SAFEENTP,Safe Enterprises Retail Fixtures Limited
,AAKAAR,Aakaar Medical Technologies Limited
,INFLUX,Influx Healthtech Limited
,EEPL,Eppeltone Engineers Limited
,PATILAUTOM,Patil Automation Limited
,SAMAY,Samay Project Services Limited
,MONOLITH,Monolithisch India Limited
,JAINIK,Jainik Power Cables Limited
,SACHEEROME,Sacheerome Limited
,GANGABATH,Ganga Bath Fittings Limited
,NRVANDANA,N R Vandana Tex Industries Limited
,NEPTUNE,Neptune Petrochemicals Limited
,NIKITA,NIKITA GREENTECH RECYCLING LIMITED
,BLUEWATER,Blue Water Logistics Limited
,DCCL,Dar Credit & Capital Limited
,ACCPL,Accretion Pharmaceuticals Limited
,INTEGRITY,Integrity Infrabuild Developers Limited
,VGINFOTECH,Virtual Galaxy Infotech Limited
,ARUNAYA,Arunaya Organics Limited
,IWARE,Iware Supplychain Services Limited
,TANKUP,Tankup Engineers Limited
,ATCENERGY,ATC Energies System Limited
,SHRIAHIMSA,Shri Ahimsa Naturals Limited
,ACTIVEINFR,Active Infrastructures Limited
,RAPIDFLEET,Rapid Fleet Management Services Limited
,GCHOTELS,Grand Continent Hotels Limited
,DIVINEHIRA,Divine Hira Jewellers Limited
,BALAJIPHOS,Balaji Phosphates Limited
,HPTL,HP Telecom India Limited
,ROYALARC,Royal Arc Electrodes Limited
,TEJASCARGO,Tejas Cargo India Limited
,VOLERCAR,Voler Car Limited
,PSRAJ,P S Raj Steels Limited
,MAXVOLT,Maxvolt Energy Industries Limited
,CHANDAN,Chandan Healthcare Limited
,ELGNZ,Eleganz Interiors Limited
,READYMIX,Readymix Construction Machinery Limited
,KEN,Ken Enterprises Limited
,CHAMUNDA,Chamunda Electrical Limited
,REXPRO,Rexpro Enterprises Limited
,EMAPARTNER,EMA Partners India Limited
,KKJEWELS,Kabra Jewels Limited
,BARFLEX,Barflex Polyfilms Limited
,SATKARTAR,Sat Kartar Shopping Limited
,DELTIC,Delta Autocorp Limited
,ANYA,Anya Polytech & Fertilizers Limited
,NMSTEEL,Newmalayalam Steel Limited
,IDENTICAL,Identical Brains Studios Limited
,SFML,Supreme Facility Management Limited
,PURPLEUTED,Purple United Sales Limited
,DHANLAXMI,Dhanlaxmi Crop Science Limited
,ETML,Emerald Tyre Manufacturers Limited
,GANESHIN,Ganesh Infraworld Limited
,AGARWALTUF,Agarwal Toughened Glass India Limited
,APEXECO,Apex Ecotech Limited
,ABHAPOWER,Abha Power and Steel Limited
,RAJPUTANA,Rajputana Biodiesel Limited
,C2C,C2C Advanced Systems Limited
,ITTL,Innovative Tyres & Tubes Limited
,LAMOSAIC,Lamosaic India Limited
,ONYX,Onyx Biotec Limited
,NEELAM,Neelam Linens and Garments (India) Limited
,USHAFIN,Usha Financial Services Limited
,UHTL,United Heat Transfer Limited
,OBSCP,OBSC Perfection Limited
,DANISH,Danish Power Limited
,PREMIUM,Premium Plast Limited
