Symbol,Jan01_Open,Jan30_Close,Season_High,Season_Low,Data_Notes
^BSESN,85255.55,82269.78,85883.50,79899.42,
^NSMIDCP,69823.65,67839.85,70833.65,65300.05,
^CNXSC,17745.80,16879.10,18000.65,16136.90,
NIFTY_MID_SELECT.NS,13809.85,13400.05,14080.25,12795.55,
^NSEI,26173.30,25320.65,26373.20,24571.75,
RACLGEAR.NS,1121.00,1012.40,1190.00,921.80,
BTC-USD,87508.05,84128.66,97860.60,60074.80,
LGEINDIA.NS,1523.90,1462.60,1534.00,1325.50,
PRIVISCL.NS,2811.90,2812.70,2915.00,2570.80,
PFC.NS,358.90,379.35,420.40,351.40,
VPRPL.NS,52.90,44.35,54.40,42.60,
MANORAMA.NS,1325.10,1350.70,1438.90,1060.60,
HINDCOPPER.NS,521.50,685.90,760.05,511.30,
RELIABLE.NS,152.00,162.49,175.00,139,
AUTOAXLES.NS,1892.30,1873.70,2115.00,1818.10,
IDEA.NS,11.20,11.17,12.52,9.68,
ICICIAMC.NS,2660.00,2972.60,3131.00,2587.00,
KAYNES.NS,4023.50,3475.40,4107.40,3294.90,
PANCARBON.BO,491.85,476.90,525.60,468.55,
TATASTEEL.NS,180.60,193.13,202.99,177.33,
POLYCAB.NS,7615.00,7013.50,7948.00,6663.00,
GEECEE.NS,321.10,308.55,327.00,297.9,
DRREDDY.NS,1270.00,1218.10,1270.00,1148.40,
NMDC.NS,83.17,81.21,86.72,76.05,
NATIONALUM.NS,315.50,385.45,431.50,312.10,
JAMNAAUTO.NS,127.00,124.36,138.50,113.72,
MCX.NS,2232.00,2528.00,2705.00,2125.50,
ADANIENT.NS,2249.00,2020.40,2303.90,1848.00,
SBIN.NS,983.20,1077.15,1089.80,980.35,
HINDALCO.NS,888.10,962.60,1029.80,882.45,
APOLLO.NS,271.90,260.75,280.00,218.00,
INTERARCH.NS,2333.20,1969.80,2345.50,1850.60,
ZENTEC.NS,1372.60,1415.60,1420.00,1223.00,
BHEL.NS,288.50,262.70,305.90,240.50,
SUMMITSEC.NS,1933.00,1768.30,1961.50,1641.20,
LALPATHLAB.NS,1483.30,1409.50,1520.00,1345.20,
SAKAR.NS,409.70,391.10,465.00,361.00,
VEDL.NS,603.00,681.55,769.80,595.00,
LUPIN.NS,2114.00,2152.80,2244.50,2073.60,
CONCOR.NS,527.55,502.25,538.95,472.75,
WOCKPHARMA.NS,1438.00,1382.20,1529.00,1275.00,
RELIANCE.NS,1573.70,1395.40,1611.80,1335.50,
EICHERMOT.NS,7317.00,7122.50,7613.50,6738.00,
PTCIL.NS,18566.00,18058.00,18600.00,17062.00,
RBLBANK.NS,313.95,298.75,328.45,287.20,
VALIANTORG.NS,277.30,240.90,285.40,226,
TARIL.NS,288.00,236.15,343.70,224.05,
ERIS.NS,1517.00,1375.50,1563.00,1301.20,
TEGA.NS,1953.00,1702.50,1977.50,1646.70,
360ONE.NS,1198.00,1134.30,1236.20,1025.10,
ZAGGLE.NS,353.00,283.40,357.80,265.80,
GUJTLRM.BO,0.75,0.63,0.76,0.59,
FORCEMOT.NS,20695.00,19195.00,22200.00,18130.00,
AURUM.NS,185.10,177.59,209.80,171.72,
IOB.NS,36.00,35.63,38.02,33.53,
PATELENG.NS,28.90,28.53,31.11,26.20,
MCL.NS,74.50,85.94,93.20,67.50,
